"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","label"
34835.6172,15014.4717,90.3010,42.7344,19.4315,5.0554,17.1283,8.0937,6.8779,20.0097,4.2530,5.7045,7.7037,8.5118,11.9977,12.8200,17.9348,9.6212,2.7824,8.4208,4.5063,8.0585,3.0264,5.7448,5.5146,7.0196,1.2394,4.5319,11.8979,15.3238,11.7302,12.8347,9.2071,8.9269,4.6439,7.7568,2.3530,7.1936,10.1143,7.0491,5.0928,2.8128,7.0705,6.2680,10.8797,12.5779,5.7796,5.7201,6.0046,3.6532,4.1561,2.6105,4.5337,6.0370,1.1376,7.6341,4.4168,4.2231,3.5747,7.5516,4.1931,5.5454,3.5501,1.5095,"nope"
34790.8945,14964.3008,66.3266,39.1048,24.9576,18.4441,12.3731,19.6207,20.0534,9.6675,4.2128,5.7315,17.4044,9.3874,10.6919,4.1562,4.8077,13.3850,7.9564,4.9084,7.5063,12.2895,13.1390,4.8702,5.7389,8.8379,13.5733,1.7420,11.7661,12.2635,5.4594,4.6092,6.8066,8.5442,4.8796,6.9380,2.5597,3.9790,13.2645,10.1974,6.0019,6.0100,5.3504,1.0917,2.9348,5.6274,10.9840,7.4096,8.2331,4.9676,7.9998,6.6869,8.3023,10.0111,7.3879,8.8792,6.1275,3.7114,0.9907,6.2838,8.9382,1.8764,8.8494,4.5148,"nope"
34836.9883,15007.4600,88.9059,32.9931,6.4854,17.2809,10.6036,5.9751,14.1126,21.2980,14.6596,13.0512,6.3766,8.7911,16.0940,8.0161,7.8832,3.8186,8.1618,2.8804,2.2794,2.4859,15.0355,4.1179,6.7572,9.7423,6.9052,0.4669,3.4796,3.3360,2.7194,5.3449,10.1508,5.6113,3.9196,5.3987,3.8045,9.1789,8.6577,3.4093,0.6135,3.1579,2.3489,7.9121,7.3629,4.5362,8.8879,10.5791,3.8004,4.0315,5.5612,4.1396,1.0424,3.8009,5.0905,5.4974,11.3600,8.5588,5.7371,8.0830,8.8632,6.4789,1.9751,4.5719,"nope"
34819.0977,14989.3340,97.2410,16.9797,19.0238,22.9658,7.2216,7.3449,10.3122,7.8100,1.6739,5.3507,7.8650,4.4532,6.5536,7.6144,9.0085,8.3665,7.4484,7.5316,9.6484,7.6491,10.9091,4.2602,10.2004,10.3173,5.3852,4.2565,10.3216,11.4655,3.0423,8.1136,5.9827,1.9604,6.3707,3.5181,4.1329,6.6035,3.8801,1.7641,3.8787,8.5662,6.8692,5.7883,7.0956,2.8844,8.2549,7.9987,6.8456,7.1880,6.8661,6.0268,4.4803,1.3803,2.3134,4.2851,6.3412,3.9657,3.6895,8.6426,8.3340,7.8067,7.3672,1.0125,"nope"
34816.6836,14983.6006,79.0109,30.5469,18.0151,7.0154,4.7524,15.5170,8.7374,4.5329,11.0113,7.4860,10.0075,8.4751,7.6496,1.9840,8.7855,6.0826,6.2235,9.5551,9.2946,13.1592,7.6316,7.2618,7.3241,4.3661,6.3995,4.2556,2.2641,13.8497,8.3401,7.5676,7.4956,2.8659,3.0165,6.3108,4.4758,7.2606,3.6643,9.8525,3.9792,11.2427,15.1891,9.7221,9.1725,7.1365,6.6648,0.9713,4.1414,3.2949,5.8446,8.9821,7.1429,2.3247,0.2752,3.2222,8.4632,13.9719,10.2803,6.5001,2.3633,5.4903,9.8755,6.3196,"nope"
34796.2344,14975.0879,71.9450,40.7279,5.2649,11.4325,15.8179,14.4374,15.2643,20.3446,8.1974,9.3648,11.8313,3.7113,7.7521,9.4917,9.4984,1.7575,4.9529,8.6825,8.6694,9.6401,10.7691,7.1313,3.9068,10.3683,3.4739,2.0081,5.8518,5.2082,10.4821,13.5349,8.6302,9.2310,11.5632,2.9923,8.0801,5.0887,3.5381,8.4088,11.8509,6.3924,3.6727,2.8463,8.4784,11.8543,9.0947,9.6948,7.9418,12.2163,9.5448,6.1131,5.0790,1.7098,4.7137,0.6663,7.5493,7.0004,6.7927,8.7362,7.9011,4.4565,7.2292,8.1178,"nope"
34786.5430,14959.3369,63.5691,30.4227,22.7707,6.0867,24.5385,7.0322,17.2262,7.9894,2.9817,5.0693,7.7777,6.6192,6.0026,12.5722,8.9831,11.9536,7.1034,6.4544,10.6842,17.6933,9.8914,6.6707,2.7876,12.1863,3.4834,8.9314,6.1607,5.5444,6.0079,5.7654,3.7828,6.9400,9.1809,12.9000,9.8864,5.3498,3.0075,5.2007,9.7307,6.8257,3.7136,14.7155,18.0341,11.9288,2.5607,9.1638,12.0017,9.5306,7.0202,5.6226,3.0798,6.0627,8.3481,9.6651,7.6832,5.7136,3.6753,6.4715,3.4312,2.4175,5.2538,6.8006,"nope"
34820.3477,14993.3105,88.2898,16.7955,18.5134,5.2226,23.6276,15.6540,25.8868,17.4197,15.2006,6.6742,7.6644,5.5424,6.9892,14.2824,14.0982,4.6665,7.3542,13.4257,6.1646,6.2386,12.9865,7.2313,6.8282,14.7590,10.7157,3.8643,6.5536,7.6566,5.2591,4.1140,7.2958,13.9843,7.7519,1.2532,9.6806,5.3655,1.8829,6.5231,7.6151,12.4037,21.1397,14.2123,7.2894,2.9807,5.9492,5.0997,3.2891,4.6952,3.9175,3.4992,7.2525,6.8506,1.2858,3.7910,3.0688,3.8689,5.3602,5.2453,5.5661,5.1006,4.6719,7.8531,"nope"
34819.2813,14981.7988,77.0476,8.7015,34.3611,18.1097,6.2620,6.3323,1.4758,7.8254,4.2633,4.9116,15.3868,5.8507,8.4352,1.8518,2.0479,3.6636,6.4206,5.2242,3.2539,2.7031,1.6212,7.2671,10.8181,6.9061,6.9033,11.0746,3.4139,6.8592,3.9941,0.4165,7.2063,12.3250,5.7588,10.7588,7.3515,6.4119,3.9327,8.1424,6.2345,10.4424,7.7282,5.2690,3.7112,9.6727,3.9611,3.3618,3.8155,4.0044,4.3300,7.2447,13.9220,14.2123,7.7322,4.7893,1.8151,4.3021,8.2226,6.1232,5.6992,6.1112,8.9046,4.1848,"nope"
34830.6016,15007.5322,82.7926,34.0017,31.7631,12.7741,7.8168,6.9529,7.0524,4.3425,13.3826,6.9033,10.9028,5.9195,5.9025,3.0619,3.6194,6.9900,5.1264,7.4678,6.2502,2.6806,9.5964,10.9582,7.8477,2.5343,8.4157,9.5358,2.2592,7.7004,6.9331,8.4307,12.3812,8.2696,4.9265,3.1853,2.0186,5.1454,12.9554,13.7778,7.6448,4.1710,9.4812,5.0064,7.1331,4.1185,4.6758,5.3113,2.3803,6.7388,5.0982,3.9628,6.2020,2.1921,5.5598,9.6043,6.8578,4.3514,8.6343,2.0348,4.5701,7.4537,6.5896,7.5744,"nope"
34793.9023,14965.4336,72.0284,33.4354,23.7752,18.8328,22.1094,6.7914,12.2037,5.8049,6.0687,20.4328,8.6011,4.1427,8.8182,12.1038,6.5439,4.2067,6.1514,6.6418,9.3865,12.2254,18.1138,11.9465,9.7298,3.2727,7.4233,4.2605,9.9233,6.5346,2.4826,4.9935,4.4664,5.3263,6.1654,11.8740,7.8038,3.5375,11.0473,11.3302,1.0656,4.6129,3.4010,2.2866,4.8248,8.7194,10.1980,9.9820,8.6143,6.0373,3.4436,7.9459,8.7247,5.1213,2.9227,7.5651,8.8983,2.4517,8.9176,5.1819,6.4405,4.7828,8.6917,8.6230,"nope"
