"f1","f2","f3","f4","label"
14.84,26.46,3.41,64.46,"nope"
49.20,24.50,0.80,647.93,"nope"
33.77,23.74,1.49,188.77,"nope"
18.84,20.08,1.21,149.59,"nope"
32.27,18.16,1.96,258.39,"nope"
24.93,18.77,1.28,268.65,"nope"
31.29,19.15,1.73,237.28,"nope"
13.78,24.12,0.93,76.83,"nope"
24.23,18.70,0.55,149.45,"nope"
14.50,22.37,0.48,95.80,"nope"
33.14,19.69,0.77,213.35,"nope"
24.03,23.82,1.71,147.60,"nope"
26.47,23.74,0.53,128.99,"nope"
30.45,20.97,1.55,217.75,"nope"
20.20,22.04,1.55,86.46,"nope"
348.41,21.58,57.79,1288.79,"nope"
214.98,30.32,57.06,584.29,"nope"
73.27,19.98,0.97,341.53,"nope"
290.98,28.01,11.83,1180.48,"nope"
30.22,22.48,0.79,158.68,"nope"
25.56,24.24,0.81,151.33,"nope"
63.18,23.35,2.34,221.53,"nope"
24.30,25.05,2.73,119.55,"nope"
28.63,25.19,1.85,323.77,"nope"
19.21,18.93,1.21,115.59,"nope"
19.83,20.74,2.54,90.06,"nope"
27.80,16.02,1.19,186.14,"nope"
20.66,17.97,0.95,122.25,"nope"
44.23,16.05,1.92,306.05,"nope"
23.66,19.29,2.15,168.91,"nope"
30.04,12.11,1.32,434.20,"nope"
18.56,17.25,1.05,128.03,"nope"
29.35,19.10,0.46,210.94,"nope"
20.23,24.60,0.98,105.87,"nope"
21.03,19.15,0.23,156.46,"nope"
17.76,16.78,1.36,190.60,"nope"
16.09,21.16,1.79,95.32,"nope"
25.58,21.88,5.43,230.08,"nope"
32.54,20.94,2.79,307.49,"nope"
16.15,19.49,1.08,201.93,"nope"
26.75,15.75,0.83,357.92,"nope"
17.15,19.68,1.29,104.03,"nope"
28.61,20.74,0.45,236.03,"nope"
24.39,19.52,2.24,130.99,"nope"
23.27,21.64,2.27,156.25,"nope"
18.53,23.98,0.87,102.36,"nope"
11.13,23.76,1.88,103.60,"nope"
17.85,18.92,0.59,112.62,"nope"
15.27,18.90,0.53,122.34,"nope"
12.44,19.52,1.47,210.47,"nope"
20.53,21.86,0.63,129.21,"nope"
19.82,23.82,0.45,94.81,"nope"
19.41,25.51,1.46,99.66,"nope"
15.84,21.72,0.32,101.97,"nope"
10.34,23.69,0.67,109.82,"nope"
14.66,21.50,1.81,183.91,"nope"
11.17,20.79,0.61,89.47,"nope"
16.76,19.64,1.52,116.59,"nope"
20.84,22.92,2.20,116.28,"nope"
26.04,20.06,0.76,188.66,"nope"
12.45,21.25,2.16,66.11,"nope"
10.42,25.37,1.66,49.02,"nope"
323.10,35.39,101.55,709.50,"nope"
46.05,13.35,0.71,679.52,"nope"
5.29,21.28,0.25,59.49,"nope"
72.60,35.57,11.53,212.69,"nope"
140.06,10.63,0.66,2269.66,"nope"
174.10,14.22,15.81,1876.59,"nope"
154.69,15.41,16.86,1776.46,"nope"
147.59,14.88,20.83,1642.83,"nope"
321.13,11.33,3.62,5107.79,"nope"
196.11,12.47,23.07,3244.11,"nope"
227.44,11.44,15.74,4601.17,"nope"
101.50,10.57,1.76,1672.79,"nope"
106.79,10.10,1.42,1618.79,"nope"
268.23,8.69,0.38,5359.60,"nope"
299.10,10.06,3.67,5221.36,"nope"
144.07,7.65,0.69,3154.55,"nope"
299.65,10.25,7.93,5807.57,"nope"
251.23,11.05,23.39,5013.37,"nope"
135.58,9.19,10.76,4167.98,"nope"
41.99,13.41,2.07,409.58,"nope"
17.89,15.58,1.09,247.91,"nope"
33.84,14.05,1.03,326.16,"nope"
35.53,18.72,1.95,222.44,"nope"
19.32,16.74,1.43,145.79,"nope"
13.70,18.45,0.83,171.11,"nope"
24.83,22.33,1.51,160.80,"nope"
19.61,22.52,0.88,173.20,"nope"
8.74,24.73,1.27,57.63,"nope"
15.53,22.34,0.69,120.36,"nope"
16.51,22.17,2.07,147.03,"nope"
17.39,20.93,0.34,137.01,"nope"
18.38,17.88,2.38,154.07,"nope"
13.47,22.79,0.86,128.71,"nope"
18.32,20.36,1.64,137.81,"nope"
20.61,20.27,1.28,177.64,"nope"
17.79,18.75,1.59,146.28,"nope"
13.56,18.95,1.19,200.06,"nope"
25.21,16.74,0.55,154.90,"nope"
26.40,13.83,1.55,364.84,"nope"
208.92,9.66,16.09,5384.74,"nope"
13.52,17.63,0.99,126.00,"nope"
27.11,19.90,1.81,223.07,"nope"
86.05,8.72,1.49,2213.53,"nope"
23.96,20.92,1.54,169.50,"nope"
34.80,11.97,0.30,447.75,"nope"
22.34,14.25,1.13,288.52,"nope"
17.92,21.84,1.29,110.89,"nope"
38.81,13.14,2.03,700.81,"nope"
29.24,15.57,2.58,265.59,"nope"
388.87,10.20,11.31,6293.37,"nope"
539.22,10.15,21.04,7106.90,"nope"
67.40,10.36,2.53,1011.99,"nope"
102.37,10.34,1.08,1456.36,"nope"
281.99,12.79,14.22,3089.31,"nope"
389.04,13.95,27.47,3847.69,"blow"
1370.68,16.90,47.80,9605.51,"blow"
1811.73,19.16,192.94,10280.77,"blow"
703.33,17.21,25.71,7080.23,"blow"
1551.03,21.34,46.43,11073.12,"blow"
554.02,24.20,110.26,2144.04,"blow"
1394.63,22.17,49.99,6574.23,"blow"
1070.65,21.35,35.70,5465.16,"blow"
1568.57,21.71,220.88,10567.97,"blow"
1341.78,22.82,160.21,7019.47,"blow"
1600.09,23.08,209.20,6919.35,"blow"
2039.85,22.44,90.74,10912.89,"blow"
1594.91,22.13,103.80,9050.94,"blow"
1626.66,24.27,268.97,7017.16,"blow"
1979.15,18.63,55.44,14669.40,"blow"
2391.27,22.97,295.42,12795.90,"blow"
2467.99,24.60,126.09,11222.95,"blow"
2219.63,19.88,58.58,12076.88,"blow"
1949.30,22.51,100.31,10235.18,"blow"
2243.40,19.93,87.39,12470.81,"blow"
2077.83,22.22,411.49,13261.79,"blow"
2425.85,24.51,164.05,10615.21,"blow"
2212.23,24.13,256.91,8393.91,"blow"
2491.07,23.31,37.31,10298.12,"blow"
2215.66,23.18,192.02,13438.45,"blow"
280.46,11.57,12.51,3753.17,"nope"
247.45,10.03,5.73,3622.70,"nope"
267.34,8.45,7.56,5311.03,"nope"
393.61,10.08,8.82,6529.07,"nope"
420.34,10.35,10.64,6092.60,"nope"
383.46,10.01,12.57,5899.95,"nope"
193.25,9.30,5.20,2649.57,"nope"
199.55,9.97,5.11,3288.98,"nope"
359.12,10.67,5.93,6038.76,"nope"
316.09,11.22,12.54,4670.44,"nope"
160.43,8.54,3.17,2573.18,"nope"
399.08,9.83,4.03,6426.60,"nope"
199.71,9.61,5.70,3307.23,"nope"
334.94,10.83,5.47,4968.97,"nope"
194.58,8.68,6.43,3326.89,"nope"
305.79,9.34,0.90,4992.86,"nope"
327.04,10.93,2.72,5481.08,"nope"
153.72,10.04,3.87,2421.29,"nope"
294.66,9.62,13.91,4918.05,"nope"
363.90,10.79,10.51,6167.14,"nope"
272.34,9.19,4.37,4759.52,"nope"
178.92,8.65,3.35,3714.95,"nope"
229.84,8.86,2.73,3622.53,"nope"
336.14,9.53,8.21,5853.72,"nope"
362.89,10.43,1.39,6135.19,"nope"
369.28,9.80,7.76,6476.27,"nope"
353.28,10.97,2.93,6082.94,"nope"
873.49,12.28,36.72,12614.54,"blow"
1758.65,16.86,61.15,14274.32,"blow"
1672.03,28.21,92.28,4693.09,"blow"
2017.77,21.77,37.50,9942.05,"blow"
1559.94,22.35,194.98,8168.33,"blow"
2308.29,25.00,178.39,9468.21,"blow"
1784.56,21.68,110.71,6621.41,"blow"
1962.87,25.79,474.08,6383.25,"blow"
2221.90,21.88,228.06,11554.05,"blow"
1389.10,20.21,112.31,8784.02,"blow"
2226.03,21.65,52.07,8240.28,"blow"
1891.84,21.54,24.53,9139.52,"blow"
1719.08,23.80,117.76,6206.89,"blow"
2048.03,21.70,269.11,9914.93,"blow"
1922.93,23.70,67.62,7429.01,"blow"
2139.61,19.84,257.00,9698.97,"blow"
1836.55,18.85,57.54,12051.59,"blow"
2201.67,22.59,213.70,16080.67,"blow"
1758.53,19.26,235.27,11057.94,"blow"
2271.37,20.90,100.25,13813.84,"blow"
2423.91,23.06,90.67,9443.31,"blow"
273.57,8.45,6.64,4840.37,"nope"
323.23,10.22,10.41,5782.37,"nope"
316.35,10.31,3.14,6041.99,"nope"
269.46,10.45,16.59,5127.12,"nope"
220.02,8.00,2.73,5483.94,"nope"
263.29,8.12,4.29,5645.08,"nope"
185.84,7.81,3.90,4608.26,"nope"
261.06,9.21,6.14,5451.21,"nope"
1889.35,22.49,101.56,11093.10,"blow"
1940.53,25.28,213.85,8136.77,"blow"
2370.18,22.66,272.10,9210.00,"blow"
1853.40,28.37,125.33,6356.34,"blow"
1845.35,24.75,215.96,12582.67,"blow"
2010.48,24.19,252.68,7889.89,"blow"
2384.12,22.88,215.21,14000.75,"blow"
2079.65,20.43,235.90,12583.83,"blow"
2173.10,21.57,78.98,13593.50,"blow"
1897.16,20.15,194.68,17799.71,"blow"
2471.43,25.26,476.83,9325.53,"blow"
2337.91,24.19,422.49,8300.56,"blow"
2284.74,21.37,150.01,10777.35,"blow"
1966.20,19.55,147.93,13777.12,"blow"
303.82,9.87,7.78,5252.22,"nope"
155.53,8.84,1.17,2845.63,"nope"
176.29,10.07,8.79,3216.78,"nope"
182.78,7.92,2.22,4377.59,"nope"
236.02,8.58,4.38,5287.21,"nope"
265.03,8.97,2.89,4932.17,"nope"
390.10,10.18,10.42,5526.08,"nope"
243.48,9.56,1.97,3163.69,"nope"
343.26,11.59,10.73,4274.02,"nope"
264.65,9.23,9.23,5271.75,"nope"
116.05,9.76,3.73,2214.82,"nope"
57.98,17.16,0.36,776.03,"nope"
39.69,18.45,9.44,290.17,"nope"
47.18,21.38,17.38,209.73,"nope"
180.84,12.74,18.11,3014.18,"nope"
221.15,11.52,4.69,3722.66,"nope"
296.24,9.86,1.83,3695.10,"nope"
323.56,10.73,13.28,4470.10,"nope"
235.16,11.52,20.33,3446.97,"nope"
57.69,14.77,7.76,721.05,"nope"
13.51,22.01,2.52,52.44,"nope"
382.33,24.16,46.36,3566.13,"nope"
32.24,21.04,0.44,215.75,"nope"
32.18,22.06,2.97,186.50,"nope"
11.33,21.95,0.74,58.09,"nope"
11.73,23.64,1.48,69.03,"nope"
16.01,17.77,1.78,246.41,"nope"
65.69,21.72,4.80,270.70,"nope"
23.30,16.48,0.85,148.46,"nope"
12.79,20.55,1.54,87.71,"nope"
11.01,20.22,0.60,109.86,"nope"
26.97,17.28,0.37,313.88,"nope"
18.98,17.97,0.88,264.20,"nope"
38.10,18.50,0.91,494.22,"nope"
20.97,17.14,2.06,303.30,"nope"
16.09,17.64,0.91,206.99,"nope"
30.58,14.79,0.63,361.79,"nope"
20.48,15.93,0.71,152.32,"nope"
24.02,20.21,0.61,193.00,"nope"
17.64,18.15,1.23,136.36,"nope"
16.93,19.39,0.77,142.22,"nope"
25.69,19.82,1.64,207.47,"nope"
26.42,15.17,1.69,236.16,"nope"
20.17,13.51,1.09,279.71,"nope"
35.37,19.79,1.96,258.53,"nope"
16.84,17.99,0.82,103.99,"nope"
11.58,20.64,0.75,51.84,"nope"
