"f1","f2","f3","f4","label"
14.89,18.22,1.38,139.97,"nope"
23.77,25.95,1.36,211.65,"nope"
34.85,21.16,3.09,208.08,"nope"
376.26,30.91,47.32,1457.45,"nope"
37.01,17.63,0.63,203.56,"nope"
10.23,22.02,1.20,58.39,"nope"
31.43,15.70,0.78,333.53,"nope"
12.82,20.32,0.86,102.72,"nope"
18.84,24.69,1.80,151.05,"nope"
14.69,19.33,1.99,96.48,"nope"
16.02,23.76,1.68,69.78,"nope"
26.23,19.18,1.23,353.79,"nope"
18.49,19.03,0.82,294.86,"nope"
24.52,18.48,1.57,273.74,"nope"
15.88,24.47,1.93,112.87,"nope"
13.76,20.07,0.59,118.12,"nope"
12.67,24.07,0.99,55.60,"nope"
30.85,26.28,9.36,123.85,"nope"
14.11,20.50,1.53,169.66,"nope"
20.19,15.93,1.44,192.77,"nope"
15.70,17.21,0.57,161.25,"nope"
28.86,18.16,1.85,356.64,"nope"
18.85,16.89,0.93,137.12,"nope"
21.08,14.07,0.47,222.78,"nope"
19.66,22.18,0.83,158.78,"nope"
23.20,19.81,1.87,224.27,"nope"
18.34,16.65,0.84,229.42,"nope"
25.79,16.48,0.54,277.07,"nope"
30.78,16.47,1.15,457.58,"nope"
17.04,22.10,0.84,141.30,"nope"
15.49,19.42,0.45,236.45,"nope"
12.38,19.57,0.81,181.89,"nope"
22.68,23.01,2.01,129.37,"nope"
20.52,18.28,1.27,160.65,"nope"
14.00,20.91,1.97,98.21,"nope"
25.58,18.60,0.52,190.40,"nope"
13.51,21.12,0.59,111.61,"nope"
12.62,22.01,0.21,64.17,"nope"
23.72,20.49,0.55,194.65,"nope"
19.98,17.76,0.27,198.29,"nope"
52.26,11.82,1.72,885.06,"blow"
1045.81,10.79,29.06,10828.96,"blow"
1537.57,15.14,77.75,11103.54,"blow"
1838.95,19.33,101.92,12434.31,"blow"
1878.17,23.21,188.79,9660.59,"blow"
1826.45,25.97,233.47,6409.11,"blow"
1847.58,19.03,163.42,15794.28,"blow"
2069.59,21.85,189.79,10684.29,"blow"
1837.04,19.94,70.38,12303.43,"blow"
1951.16,22.69,197.23,8866.96,"blow"
1673.93,18.99,12.71,14703.30,"blow"
1679.23,18.78,49.97,9696.68,"blow"
1896.30,20.79,105.28,8940.17,"blow"
2102.26,21.57,182.46,9130.35,"blow"
1993.62,21.43,107.84,9264.28,"blow"
2069.12,20.46,219.41,11191.30,"blow"
1991.87,19.45,230.96,13553.31,"blow"
1761.84,20.07,38.47,12322.17,"blow"
2112.62,21.86,136.35,9200.17,"blow"
1741.32,20.05,208.33,13428.63,"blow"
1386.41,18.84,111.04,8427.53,"blow"
9.77,24.53,2.12,57.27,"nope"
11.15,21.46,0.86,95.27,"nope"
18.46,20.52,1.41,151.36,"nope"
27.43,13.96,1.72,397.06,"nope"
20.05,22.11,0.49,116.44,"nope"
26.73,17.20,1.26,187.37,"nope"
24.34,16.35,0.40,279.18,"nope"
22.61,22.96,1.54,175.87,"nope"
11.24,20.95,0.85,101.47,"nope"
20.31,21.67,1.10,183.15,"nope"
21.08,20.08,1.74,161.96,"nope"
11.09,24.42,1.31,67.59,"nope"
19.49,22.31,1.80,190.62,"nope"
19.36,26.57,1.17,113.93,"nope"
25.61,21.51,0.90,251.85,"nope"
18.23,19.04,0.94,157.14,"nope"
24.81,17.16,0.76,240.10,"nope"
11.42,22.19,0.64,82.77,"nope"
27.35,16.58,0.71,308.45,"nope"
451.14,12.68,12.12,4966.18,"blow"
1397.96,17.06,146.89,10561.35,"blow"
903.40,14.28,27.53,5387.25,"blow"
1149.02,14.58,20.56,10902.24,"blow"
856.48,14.41,7.61,7762.71,"blow"
994.25,18.53,6.78,8353.81,"blow"
1409.66,14.97,67.97,9367.25,"blow"
1172.63,16.25,27.42,7056.12,"blow"
965.45,14.88,5.31,7050.10,"blow"
1219.05,15.18,81.67,12302.32,"blow"
955.50,15.98,22.19,5561.44,"blow"
939.52,15.63,37.98,8214.18,"blow"
1018.90,15.27,69.04,8043.87,"blow"
1259.67,16.17,52.29,7272.83,"blow"
1166.69,15.01,43.29,11587.08,"blow"
1166.45,15.48,62.31,9357.82,"blow"
868.32,15.48,11.51,8262.83,"blow"
1016.17,16.44,62.41,5660.81,"blow"
1178.57,16.94,31.64,6719.62,"blow"
1379.05,18.62,51.33,10940.43,"blow"
1342.43,18.84,83.98,12469.36,"blow"
1313.09,16.67,101.29,9589.46,"blow"
1786.83,19.24,213.70,8287.36,"blow"
1419.99,17.38,61.55,10208.59,"blow"
1604.15,16.50,106.78,12531.21,"blow"
1646.40,21.35,122.45,7053.50,"blow"
1640.26,20.19,183.42,9889.00,"blow"
1642.02,19.17,143.47,7985.37,"blow"
1734.18,19.76,164.83,7602.92,"blow"
1505.82,23.16,195.00,4529.24,"blow"
1588.76,19.20,129.33,11566.36,"blow"
1801.35,23.34,295.92,7916.62,"blow"
1830.14,21.45,157.38,12524.67,"blow"
1780.79,21.11,209.59,13583.14,"blow"
1875.06,21.87,40.88,10326.39,"blow"
1857.37,25.26,203.15,5421.28,"blow"
1366.87,20.89,94.25,8418.99,"blow"
1673.94,19.30,155.90,12615.83,"blow"
1906.43,23.90,135.03,7727.91,"blow"
1816.43,21.74,239.44,9544.68,"blow"
1995.67,21.97,15.58,8822.50,"blow"
10.84,24.49,1.03,46.12,"nope"
16.90,17.42,1.06,196.08,"nope"
19.41,16.18,0.33,284.51,"nope"
20.24,15.87,0.56,197.79,"nope"
23.20,17.75,0.79,233.03,"nope"
18.68,17.77,1.46,206.59,"nope"
19.43,17.48,1.47,155.65,"nope"
25.46,14.82,2.09,388.77,"nope"
24.45,13.10,1.03,480.70,"nope"
21.61,14.41,0.22,399.79,"nope"
22.29,12.25,0.28,420.05,"nope"
21.51,13.79,0.63,315.29,"nope"
12.99,22.21,1.04,62.09,"nope"
15.52,18.83,1.75,142.24,"nope"
14.73,18.01,1.29,178.61,"nope"
28.81,17.88,0.78,243.86,"nope"
23.41,16.20,0.24,244.25,"nope"
16.89,17.43,1.01,227.59,"nope"
14.63,21.24,0.88,94.32,"nope"
17.28,19.69,2.89,140.55,"nope"
21.63,17.16,1.04,376.71,"nope"
21.05,17.46,1.14,218.78,"nope"
24.55,14.08,1.15,385.20,"nope"
19.39,14.05,0.54,367.38,"nope"
25.53,17.48,0.53,312.46,"nope"
31.86,14.38,1.21,557.02,"nope"
26.92,13.09,1.10,549.67,"nope"
27.02,14.26,1.03,545.56,"nope"
32.30,13.17,1.17,717.61,"nope"
20.78,26.88,2.11,109.89,"nope"
17.37,19.49,0.40,124.32,"nope"
19.47,19.99,2.31,214.10,"nope"
22.37,18.29,1.13,180.04,"nope"
18.44,23.17,0.42,89.34,"nope"
17.80,20.57,0.83,118.34,"nope"
13.65,20.67,0.59,161.41,"nope"
7.39,28.71,1.01,32.34,"nope"
7.27,28.63,0.74,26.04,"nope"
7.69,26.77,0.72,30.44,"nope"
7.35,31.04,1.10,34.22,"nope"
7.71,26.05,0.99,29.92,"nope"
6.98,30.34,1.49,33.59,"nope"
8.76,25.29,0.46,62.31,"nope"
6.98,28.09,1.25,18.68,"nope"
7.32,28.84,1.41,33.12,"nope"
7.29,27.60,1.31,33.73,"nope"
8.77,28.53,2.12,38.66,"nope"
8.27,29.84,1.84,26.95,"nope"
7.51,27.71,0.68,32.52,"nope"
7.30,27.01,0.37,37.06,"nope"
6.73,28.29,0.53,38.42,"nope"
7.40,26.17,0.51,27.85,"nope"
8.74,27.94,1.85,52.36,"nope"
8.03,28.44,0.31,42.55,"nope"
7.62,27.04,0.45,28.37,"nope"
8.02,27.93,1.27,41.90,"nope"
8.07,27.76,0.36,35.58,"nope"
10.08,27.60,1.04,39.86,"nope"
8.06,25.68,0.41,49.00,"nope"
7.87,30.39,0.55,42.89,"nope"
6.39,29.64,0.63,22.07,"nope"
8.05,28.62,1.42,27.31,"nope"
6.41,26.45,0.35,33.78,"nope"
1207.16,15.64,24.00,8750.78,"blow"
1422.89,17.24,52.23,9971.63,"blow"
1904.88,18.99,262.69,15857.41,"blow"
1981.59,20.07,285.24,10590.15,"blow"
1762.36,18.52,123.54,16625.92,"blow"
1989.50,24.35,139.74,9870.11,"blow"
1761.54,21.15,33.80,9517.31,"blow"
1534.81,21.45,42.11,11065.43,"blow"
1771.42,19.20,85.67,11434.80,"blow"
1809.25,19.87,148.39,14973.94,"blow"
8.83,30.01,1.34,39.72,"nope"
8.43,29.41,0.27,29.30,"nope"
8.84,28.04,1.80,35.46,"nope"
9.16,27.02,1.63,42.18,"nope"
7.28,27.79,0.82,34.73,"nope"
7.59,26.84,0.61,38.01,"nope"
8.39,27.96,1.07,38.81,"nope"
1500.23,16.49,100.94,11542.63,"blow"
1520.76,20.05,91.74,9025.46,"blow"
1377.31,17.34,42.81,12481.11,"blow"
1368.70,20.98,70.90,8684.04,"blow"
1698.02,19.06,80.76,13407.05,"blow"
1408.77,18.72,51.35,9020.66,"blow"
1427.81,15.61,51.05,9062.02,"blow"
1487.25,21.72,102.43,6509.16,"blow"
1553.33,19.74,111.08,7289.13,"blow"
1692.68,19.75,107.35,7884.79,"blow"
1405.02,19.42,89.68,12607.22,"blow"
1553.77,20.09,59.87,8144.08,"blow"
1503.59,24.59,333.82,6833.11,"blow"
1365.07,19.04,59.59,7264.00,"blow"
1658.30,22.27,261.98,6116.49,"blow"
1582.25,22.29,180.29,13379.20,"blow"
1472.56,23.13,101.54,8973.67,"blow"
1404.04,21.92,69.01,8603.31,"blow"
1706.26,21.15,308.56,9115.06,"blow"
1729.55,19.88,128.45,8961.10,"blow"
1635.85,19.42,124.69,7593.40,"blow"
1871.53,20.99,106.81,8709.36,"blow"
1847.17,20.12,139.70,10427.07,"blow"
1843.99,21.09,177.64,9659.51,"blow"
1886.13,22.58,152.87,10024.44,"blow"
1962.24,21.89,182.18,8126.12,"blow"
1901.74,21.74,283.91,8871.14,"blow"
1863.27,21.80,78.62,8076.33,"blow"
2140.05,21.22,279.60,7752.62,"blow"
7.40,30.45,1.25,31.55,"nope"
8.45,29.40,0.53,51.97,"nope"
7.44,26.55,0.59,39.54,"nope"
5.99,26.21,0.72,43.32,"nope"
7.24,27.13,0.72,49.89,"nope"
9.60,27.71,1.20,45.04,"nope"
7.48,25.95,0.68,33.07,"nope"
7.05,26.67,0.51,34.20,"nope"
7.64,26.66,0.86,23.93,"nope"
8.51,25.82,0.64,33.66,"nope"
7.56,28.11,0.30,34.40,"nope"
8.39,27.40,1.59,35.39,"nope"
8.63,23.41,0.41,48.43,"nope"
8.33,31.42,0.16,54.01,"nope"
7.87,26.40,0.41,31.19,"nope"
8.56,26.73,0.67,39.23,"nope"
9.11,25.25,0.65,50.41,"nope"
7.54,28.54,0.82,26.84,"nope"
8.27,25.97,0.91,38.09,"nope"
7.27,28.25,0.87,38.52,"nope"
7.09,28.54,1.64,40.58,"nope"
8.29,29.22,0.55,51.39,"nope"
8.09,27.15,0.12,53.11,"nope"
7.69,29.93,0.97,38.56,"nope"
6.20,29.29,0.33,23.16,"nope"
9.19,25.60,0.47,41.04,"nope"
7.49,29.49,0.78,31.39,"nope"
8.55,27.11,0.39,43.22,"nope"
10.52,25.95,0.76,39.17,"nope"
7.53,27.19,1.24,54.44,"nope"
8.30,27.09,2.04,44.98,"nope"
8.32,26.27,0.54,29.97,"nope"
8.47,31.89,0.37,29.62,"nope"
7.59,27.96,0.69,31.94,"nope"
7.02,27.55,0.77,24.13,"nope"
6.55,27.71,0.50,27.50,"nope"
7.91,26.01,0.39,48.20,"nope"
7.76,30.04,0.92,39.21,"nope"
7.99,26.72,1.10,35.11,"nope"
8.72,28.16,0.59,27.95,"nope"
6.74,30.04,0.38,27.14,"nope"
6.92,26.55,1.16,29.71,"nope"
1553.51,20.23,170.26,9984.81,"blow"
1355.20,18.34,67.53,14309.22,"blow"
1658.59,20.14,112.76,9165.38,"blow"
1654.08,22.87,112.09,7012.23,"blow"
1854.57,19.33,179.61,8147.84,"blow"
1742.58,23.37,101.22,7804.06,"blow"
1793.45,24.67,162.43,7159.92,"blow"
1982.63,22.76,105.30,8499.71,"blow"
1980.01,21.18,110.16,7907.12,"blow"
1876.42,20.63,91.19,7724.76,"blow"
2117.05,22.27,131.49,8006.25,"blow"
2104.68,27.03,243.89,7233.77,"blow"
1744.41,20.06,115.99,9729.06,"blow"
2016.11,25.07,195.62,8004.68,"blow"
2021.41,22.68,72.68,7339.73,"blow"
1966.90,23.80,41.61,9637.26,"blow"
2219.53,23.61,113.29,7293.64,"blow"
2249.64,22.18,344.82,9205.37,"blow"
2071.31,25.66,141.71,8428.52,"blow"
2080.85,24.93,318.56,9943.14,"blow"
2452.53,27.31,413.06,7791.90,"blow"
1772.22,26.13,71.77,5921.90,"blow"
2275.48,25.25,141.17,8359.21,"blow"
1993.79,23.71,99.18,7674.95,"blow"
2168.67,22.34,186.43,10768.91,"blow"
1929.43,21.11,80.48,10650.83,"blow"
1943.86,23.14,44.65,6754.62,"blow"
2266.76,23.90,311.23,10945.86,"blow"
2448.23,25.06,339.62,6725.53,"blow"
1960.78,22.40,163.84,7108.92,"blow"
2152.43,23.74,380.71,7453.81,"blow"
2082.71,24.53,266.96,7326.31,"blow"
2253.78,22.52,261.31,9566.30,"blow"
2340.49,24.46,179.91,6477.93,"blow"
2254.57,24.86,419.49,7724.31,"blow"
18.27,27.68,2.73,62.82,"nope"
25.17,29.15,0.86,70.69,"nope"
21.36,31.29,1.28,57.14,"nope"
25.56,27.77,3.88,82.71,"nope"
19.52,27.98,1.73,53.04,"nope"
17.59,28.89,2.25,44.16,"nope"
10.38,28.43,1.66,37.91,"nope"
8.48,26.28,0.42,43.94,"nope"
7.43,27.89,0.29,43.24,"nope"
1984.91,22.82,222.40,10132.46,"blow"
1836.30,18.40,110.88,12046.42,"blow"
2107.77,23.49,611.26,11097.63,"blow"
1914.76,21.51,93.26,11918.50,"blow"
1750.42,24.07,221.83,11194.58,"blow"
2016.53,22.59,219.33,6977.10,"blow"
1723.95,23.78,76.03,7204.28,"blow"
2033.67,19.43,94.63,12382.23,"blow"
1918.40,17.40,83.79,9099.22,"blow"
1977.95,19.41,187.28,10879.70,"blow"
1702.04,17.47,176.35,12033.30,"blow"
1858.36,21.22,270.09,13517.96,"blow"
1684.60,20.01,35.17,13418.46,"blow"
1909.28,17.08,111.67,11660.09,"blow"
1822.14,19.52,188.88,11082.42,"blow"
1202.92,18.31,73.94,10928.76,"blow"
1719.79,20.37,140.16,10221.09,"blow"
1733.84,23.38,52.46,6752.26,"blow"
1465.59,18.05,51.28,12218.27,"blow"
1860.45,21.81,89.08,8489.20,"blow"
1495.52,20.15,147.65,11696.66,"blow"
1751.50,17.96,81.99,14571.67,"blow"
1364.05,17.02,118.81,9618.91,"blow"
1483.23,20.23,96.54,6904.47,"blow"
1677.32,19.84,60.76,8088.57,"blow"
1477.52,17.83,65.65,14308.33,"blow"
1817.10,18.94,103.37,9576.07,"blow"
1235.08,18.58,68.75,6414.30,"blow"
1383.27,14.29,21.07,12756.41,"blow"
1266.92,19.18,90.68,7870.44,"blow"
1366.51,17.56,27.07,8327.30,"blow"
1266.14,14.56,24.45,11758.07,"blow"
1017.50,16.57,34.04,8241.44,"blow"
1185.46,15.23,68.81,7628.19,"blow"
936.40,17.13,28.67,8336.99,"blow"
1116.90,17.68,54.27,8173.56,"blow"
1132.07,19.98,48.68,5774.24,"blow"
1130.18,16.45,28.87,8797.31,"blow"
1450.54,20.51,75.47,7314.73,"blow"
1355.97,20.76,14.62,7420.35,"blow"
1685.14,17.71,112.23,11647.54,"blow"
1366.19,20.63,112.99,6403.76,"blow"
1706.57,18.65,143.37,9256.58,"blow"
1436.35,15.56,62.65,11129.59,"blow"
1158.50,21.90,28.76,4530.53,"blow"
1418.35,17.57,132.88,7952.52,"blow"
1429.00,18.41,86.85,8623.29,"blow"
1325.88,19.73,119.57,8596.09,"blow"
1222.16,15.77,21.67,9514.83,"blow"
8.79,29.98,1.50,40.79,"nope"
6.33,26.25,0.48,41.50,"nope"
6.53,23.88,0.36,34.68,"nope"
7.63,28.98,0.48,22.00,"nope"
9.19,27.62,2.41,39.50,"nope"
8.36,25.47,1.07,40.77,"nope"
8.70,28.41,0.99,49.95,"nope"
7.85,29.33,1.02,32.02,"nope"
8.77,27.65,1.72,31.41,"nope"
9.70,22.83,0.60,63.64,"nope"
8.15,28.02,0.72,57.83,"nope"
244.85,36.50,22.31,1699.54,"nope"
33.84,28.49,3.68,615.69,"nope"
68.69,28.64,17.20,135.54,"nope"
10.33,24.76,1.81,65.28,"nope"
268.69,25.69,10.40,2998.06,"nope"
286.03,21.14,18.37,1100.18,"nope"
149.39,30.33,8.54,605.15,"nope"
9.65,20.18,0.37,66.78,"nope"
7.30,23.43,0.17,39.51,"nope"
8.49,24.69,1.16,43.43,"nope"
5.44,27.72,0.40,40.51,"nope"
7.95,25.61,1.49,47.60,"nope"
6.98,26.72,0.72,38.24,"nope"
7.80,25.86,1.27,45.90,"nope"
6.44,25.59,1.15,38.82,"nope"
7.33,29.52,1.20,24.46,"nope"
6.99,26.56,0.67,33.56,"nope"
6.71,29.74,0.40,29.60,"nope"
7.38,26.24,0.92,33.51,"nope"
7.65,28.46,2.18,29.67,"nope"
6.67,29.33,1.03,27.95,"nope"
7.83,27.29,1.34,35.01,"nope"
8.96,27.63,1.74,55.24,"nope"
7.99,25.46,1.11,44.49,"nope"
7.79,26.52,1.52,42.51,"nope"
6.88,27.48,0.95,51.42,"nope"
8.03,26.28,0.57,57.58,"nope"
7.14,27.15,1.68,27.51,"nope"
6.10,28.59,0.62,34.22,"nope"
6.53,26.47,0.29,24.72,"nope"
6.93,27.53,0.90,30.74,"nope"
7.29,26.81,0.85,35.36,"nope"
7.05,27.83,0.54,40.26,"nope"
8.00,27.23,0.90,35.80,"nope"
8.60,26.01,0.28,53.71,"nope"
7.67,27.30,0.51,39.81,"nope"
6.30,26.66,1.48,24.74,"nope"
8.01,30.61,0.48,21.54,"nope"
7.90,29.92,0.49,26.54,"nope"
7.51,25.59,1.82,30.54,"nope"
7.16,26.63,0.87,49.19,"nope"
6.60,27.64,1.24,36.63,"nope"
7.59,23.93,1.18,40.03,"nope"
8.27,25.70,1.15,56.26,"nope"
7.89,28.00,1.53,29.55,"nope"
7.49,26.38,1.16,45.92,"nope"
7.54,27.93,1.19,29.15,"nope"
6.75,27.71,1.00,23.20,"nope"
7.88,25.19,1.37,26.93,"nope"
7.43,23.14,0.46,53.82,"nope"
6.72,30.66,0.91,31.51,"nope"
7.05,28.52,0.74,28.31,"nope"
6.17,26.36,0.57,33.40,"nope"
6.65,28.29,1.36,29.15,"nope"
6.58,28.07,0.47,40.59,"nope"
6.49,28.48,1.10,26.46,"nope"
6.76,28.30,0.27,31.38,"nope"
7.92,27.93,0.74,30.92,"nope"
6.49,28.61,0.06,35.97,"nope"
7.10,26.40,1.59,23.18,"nope"
6.97,27.84,0.43,34.20,"nope"
7.58,26.43,1.73,39.48,"nope"
8.05,28.93,1.09,37.92,"nope"
7.14,26.86,0.54,37.00,"nope"
7.19,28.68,0.55,41.47,"nope"
7.08,29.35,0.66,29.53,"nope"
7.55,30.40,1.49,36.77,"nope"
7.46,29.32,0.69,24.79,"nope"
6.17,28.62,0.44,16.26,"nope"
7.82,28.49,0.94,49.24,"nope"
6.67,27.28,0.97,35.71,"nope"
6.63,27.33,0.62,28.67,"nope"
6.40,27.48,0.24,23.64,"nope"
7.48,27.91,0.83,30.57,"nope"
6.86,28.61,1.27,32.83,"nope"
256.48,32.51,57.19,502.27,"nope"
485.59,13.11,11.44,3197.21,"nope"
14.96,18.80,1.08,110.97,"nope"
358.09,26.83,20.36,1501.15,"nope"
110.72,28.51,11.29,429.22,"nope"
35.69,22.02,3.52,160.48,"nope"
342.96,35.90,14.69,1595.29,"nope"
13.61,26.43,0.29,116.51,"nope"
7.59,25.70,0.38,44.00,"nope"
18.02,19.39,1.36,241.54,"nope"
8.74,26.55,0.61,66.12,"nope"
14.18,28.24,0.57,65.66,"nope"
9.72,26.92,0.73,39.27,"nope"
7.06,26.60,0.41,24.54,"nope"
8.95,24.80,1.30,68.74,"nope"
8.38,28.19,0.67,41.68,"nope"
7.42,25.55,1.08,37.27,"nope"
6.88,26.52,0.15,42.96,"nope"
8.59,23.35,0.78,56.64,"nope"
11.84,26.83,1.64,84.69,"nope"
7.59,25.21,0.71,29.88,"nope"
12.15,22.16,2.36,73.03,"nope"
8.48,24.73,0.42,52.92,"nope"
106.42,17.69,1.38,731.65,"nope"
58.73,23.19,7.14,319.08,"nope"
7.96,26.67,0.75,38.55,"nope"
51.64,13.70,2.49,242.42,"nope"
11.45,26.75,1.02,71.01,"nope"
8.39,26.59,0.51,33.93,"nope"
339.26,24.56,92.41,1465.02,"nope"
10.68,21.56,1.13,120.81,"nope"
17.50,20.03,1.21,170.66,"nope"
302.22,16.65,4.47,2575.29,"nope"
18.23,17.99,1.19,90.37,"nope"
15.54,20.67,2.00,74.81,"nope"
24.19,17.17,1.15,124.56,"nope"
10.71,19.68,1.04,150.58,"nope"
16.64,15.44,1.49,230.67,"nope"
40.69,24.16,4.09,174.39,"nope"
24.47,16.63,1.07,146.07,"nope"
26.01,20.99,0.46,104.45,"nope"
13.81,22.67,1.43,64.85,"nope"
15.47,26.96,1.52,43.02,"nope"
9.85,28.71,1.69,31.02,"nope"
938.62,20.43,379.65,5930.39,"nope"
5.62,22.69,0.56,58.90,"nope"
7.58,25.63,0.56,65.61,"nope"
8.46,28.62,1.17,57.46,"nope"
202.90,14.19,18.08,2949.43,"nope"
896.82,20.44,361.95,5630.11,"nope"
12.58,29.99,0.85,72.23,"nope"
4.09,31.95,0.82,12.28,"nope"
7.85,33.70,3.27,12.90,"nope"
3.22,36.33,0.23,8.87,"nope"
192.39,14.95,12.93,1691.59,"nope"
6.14,24.43,0.45,59.35,"nope"
9.74,32.58,2.19,33.60,"nope"
8.43,28.19,2.04,26.97,"nope"
10.17,30.14,2.64,45.93,"nope"
9.46,26.95,1.02,39.95,"nope"
9.83,31.92,0.74,29.21,"nope"
7.53,28.20,1.18,33.65,"nope"
8.67,27.10,0.82,61.96,"nope"
8.30,29.19,1.38,50.02,"nope"
9.60,30.00,1.59,32.59,"nope"
9.80,28.76,0.78,56.24,"nope"
12.18,25.23,2.04,93.65,"nope"
10.70,28.66,0.88,47.78,"nope"
9.43,28.12,1.78,41.55,"nope"
10.74,23.01,1.25,69.28,"nope"
10.32,26.31,1.42,39.28,"nope"
9.92,23.71,1.83,89.10,"nope"
8.55,32.02,1.27,26.18,"nope"
10.80,25.40,0.62,67.37,"nope"
9.38,27.64,1.60,34.25,"nope"
8.56,25.67,1.41,31.24,"nope"
7.00,26.65,0.88,30.61,"nope"
7.75,28.06,1.20,34.95,"nope"
6.34,28.09,0.83,36.42,"nope"
8.03,25.64,1.12,31.76,"nope"
7.25,28.72,0.66,22.24,"nope"
7.81,29.72,0.74,40.63,"nope"
8.26,27.00,0.61,56.57,"nope"
34.87,13.81,1.83,215.07,"nope"
11.11,24.34,1.25,47.91,"nope"
9.70,26.31,1.17,63.80,"nope"
7.03,28.54,0.04,29.09,"nope"
9.07,27.21,0.60,54.37,"nope"
8.72,29.52,0.52,31.67,"nope"
7.80,28.54,0.39,38.53,"nope"
8.04,28.50,0.38,24.90,"nope"
8.22,26.43,0.90,32.28,"nope"
7.12,30.48,0.48,24.76,"nope"
7.73,28.18,1.66,28.39,"nope"
7.42,30.16,0.53,34.83,"nope"
8.07,29.35,0.21,60.69,"nope"
6.85,28.95,1.05,18.20,"nope"
9.76,29.30,1.33,29.36,"nope"
7.56,26.88,1.10,36.61,"nope"
51.01,33.38,3.95,143.47,"suck"
64.06,31.66,15.54,175.61,"suck"
63.21,31.63,7.17,167.65,"suck"
71.86,32.15,7.60,159.36,"suck"
85.02,33.64,12.04,231.97,"suck"
93.82,33.82,12.10,247.50,"suck"
101.21,37.07,7.09,293.49,"suck"
117.54,34.90,21.66,366.39,"suck"
124.36,31.57,12.19,337.96,"suck"
122.84,31.70,12.51,294.27,"suck"
9.07,28.60,0.66,44.98,"nope"
8.77,27.84,0.25,30.85,"nope"
6.15,29.97,0.72,31.83,"nope"
7.66,26.92,0.40,40.15,"nope"
7.84,27.06,0.18,49.01,"nope"
10.22,31.41,2.80,26.13,"nope"
9.56,27.69,0.83,49.56,"nope"
9.28,27.18,0.75,33.40,"nope"
10.25,31.22,2.36,39.99,"nope"
7.47,28.01,0.37,27.37,"nope"
7.44,28.91,1.08,28.98,"nope"
8.01,29.86,0.63,27.57,"nope"
7.77,31.74,0.78,21.74,"nope"
9.81,27.41,1.23,56.17,"nope"
8.28,27.55,1.39,37.88,"nope"
9.13,30.69,2.33,35.72,"nope"
6.97,28.19,0.56,30.49,"nope"
7.53,25.88,0.82,24.73,"nope"
7.16,26.08,1.16,32.51,"nope"
8.06,30.09,1.53,34.57,"nope"
9.54,27.84,1.73,47.85,"nope"
7.92,25.95,0.71,42.12,"nope"
9.03,26.76,1.48,36.74,"nope"
8.33,27.19,0.61,41.61,"nope"
8.61,27.81,0.68,38.08,"nope"
7.70,30.06,1.47,32.42,"nope"
9.24,27.86,1.20,45.15,"nope"
6.90,27.83,0.19,28.75,"nope"
8.41,27.55,2.11,48.98,"nope"
7.03,28.78,0.77,24.93,"nope"
7.98,28.32,1.44,21.15,"nope"
7.85,24.99,0.39,37.96,"nope"
6.73,28.60,1.16,28.84,"nope"
8.54,26.51,0.73,50.06,"nope"
8.40,24.29,0.47,50.76,"nope"
7.64,28.62,1.55,33.91,"nope"
8.22,28.38,0.75,33.77,"nope"
8.35,27.53,0.32,46.81,"nope"
7.77,26.88,0.70,54.12,"nope"
8.04,29.13,1.05,26.66,"nope"
7.52,26.49,1.02,24.87,"nope"
8.72,27.42,1.68,39.86,"nope"
7.08,28.01,1.58,30.63,"nope"
6.66,28.85,1.17,24.06,"nope"
6.70,27.74,1.41,34.90,"nope"
8.96,30.15,0.43,31.32,"nope"
7.39,27.57,0.77,49.56,"nope"
7.55,30.30,1.62,28.59,"nope"
8.11,28.71,1.30,35.67,"nope"
8.73,29.02,1.30,45.77,"nope"
6.73,26.41,1.32,29.60,"nope"
9.19,29.80,0.93,32.22,"nope"
8.51,29.92,0.90,40.85,"nope"
7.42,28.25,0.65,30.43,"nope"
7.32,30.24,0.95,31.73,"nope"
9.39,26.61,1.50,30.05,"nope"
8.45,31.61,1.44,26.04,"nope"
6.46,29.93,0.81,28.12,"nope"
6.71,25.06,1.40,36.32,"nope"
7.97,29.04,1.09,35.33,"nope"
73.81,32.59,16.47,245.55,"suck"
69.93,30.08,2.60,198.25,"suck"
75.52,30.10,8.32,198.89,"suck"
78.63,31.25,3.23,310.19,"suck"
90.86,31.49,16.60,249.60,"suck"
86.76,27.94,9.53,236.95,"suck"
89.82,33.68,12.54,210.45,"suck"
83.90,32.88,12.42,208.37,"suck"
67.87,35.05,3.32,197.49,"suck"
79.75,30.55,9.16,214.06,"suck"
74.32,29.91,7.21,273.95,"suck"
79.25,32.57,27.12,175.41,"suck"
72.35,32.40,11.35,148.95,"suck"
100.70,34.88,10.28,278.27,"suck"
82.96,32.76,8.03,255.98,"suck"
112.86,32.97,8.53,392.49,"suck"
129.18,33.00,7.45,328.43,"suck"
155.75,33.77,15.12,413.31,"suck"
199.59,35.02,13.92,668.21,"suck"
215.26,32.41,32.41,635.59,"suck"
7.36,28.85,1.72,29.91,"nope"
7.45,29.34,0.60,23.97,"nope"
7.38,29.21,0.46,35.64,"nope"
8.24,29.30,0.76,32.98,"nope"
8.18,29.81,1.41,24.03,"nope"
8.64,27.15,1.30,26.67,"nope"
7.21,28.51,0.73,22.49,"nope"
8.57,26.85,1.26,43.63,"nope"
