"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","label"
34804.5977, 14966.0596, 69.1251, 29.7544, 10.0537, 27.0699, 7.4026, 14.0023, 17.0735, 13.9561, 10.5223, 10.7229, 6.4128, 9.5562, 9.1326, 10.0132, 5.2213, 9.6010, 6.1984, 7.9833, 4.6369, 1.8802, 4.9651, 7.2501, 3.0559, 6.5743, 10.8571, 3.6089, 5.9016, 3.0945, 8.7819, 7.9152, 6.8895, 4.0764, 7.0846, 0.9301, 8.4948, 9.3717, 4.8444, 4.4687, 13.6693, 12.0631, 7.5004, 8.2073, 11.2044, 4.8115, 6.5005, 5.2403, 4.2820, 7.1297, 8.2900, 8.1109, 4.0617, 2.7766, 2.7029, 6.7813, 7.8407, 7.5631, 4.8799, 5.9855, 5.5717, 5.3509, 6.9877, 7.1967,"nope"
34811.6055, 14974.0557, 65.4808, 34.3573, 25.7329, 15.9187, 2.8258, 12.8763, 13.8068, 15.0866, 20.5732, 4.4447, 7.6440, 9.4617, 7.6816, 10.0893, 7.3517, 8.3963, 4.7836, 12.0409, 12.2202, 6.2655, 4.7210, 6.4413, 5.3291, 6.1693, 15.5044, 10.7553, 6.9981, 11.8153, 8.9203, 3.4433, 6.1237, 5.9522, 3.6931, 4.4388, 6.6251, 10.3210, 14.6907, 12.9384, 5.4318, 4.9653, 3.0225, 6.6975, 10.7662, 9.1932, 1.7438, 3.2488, 3.5864, 5.5275, 6.1794, 3.6456, 1.3315, 4.9620, 8.7636, 9.7447, 7.4152, 6.5024, 5.9409, 4.4754, 5.1514, 2.5288, 5.6937, 9.2735,"nope"
34790.3203, 14973.5430, 79.5386, 34.2332, 16.4315, 7.2898, 17.3869, 17.0996, 12.0595, 10.9789, 8.6999, 9.1883, 9.2295, 10.7281, 7.6105, 8.9903, 6.8598, 7.8953, 8.4192, 8.3813, 8.3094, 13.8272, 13.1027, 4.9668, 8.1547, 13.0561, 1.0541, 6.2441, 8.0720, 5.5915, 3.2848, 9.3529, 9.3479, 5.5474, 6.0075, 1.7145, 6.1482, 10.3077, 8.7131, 3.5725, 6.2530, 4.1653, 7.7103, 3.8746, 6.2513, 11.1883, 5.4021, 2.0247, 3.5877, 2.0417, 4.5336, 12.9459, 9.4704, 7.1472, 10.8782, 11.9691, 7.3060, 8.8105, 7.7310, 5.0748, 6.8466, 7.5126, 4.7138, 2.0022,"nope"
34810.3281, 14976.6152, 96.0402, 15.8744, 21.3671, 18.6643, 1.5951, 18.8324, 26.7902, 15.8078, 1.5851, 8.7476, 3.7270, 7.2369, 12.6407, 12.9328, 7.9933, 10.7458, 4.0602, 2.4396, 7.1239, 7.9064, 7.6447, 14.9233, 13.1777, 9.7825, 5.4150, 4.7728, 8.9759, 10.8108, 9.5517, 6.3957, 1.6145, 1.4970, 5.6580, 6.7455, 5.1400, 5.6329, 10.4170, 11.9084, 7.6272, 3.2099, 7.3881, 8.6242, 7.6088, 8.0661, 8.9098, 7.7242, 2.3941, 1.9584, 3.3885, 9.8011, 7.4989, 5.9248, 6.6156, 7.6507, 4.9830, 0.5757, 4.5618, 9.7585, 5.1194, 4.5637, 2.1038, 7.6544,"nope"
34810.0820, 14982.4629, 80.1429, 36.8662, 8.4627, 27.4699, 16.0119, 18.9554, 8.8744, 8.1989, 5.1550, 7.1161, 11.9854, 10.4321, 11.7665, 2.5071, 11.5691, 7.4395, 5.2493, 6.6663, 5.4606, 3.9258, 7.2514, 5.2939, 5.6397, 6.5334, 5.4549, 3.7421, 5.3246, 6.1390, 6.7178, 8.6255, 6.1844, 3.6735, 2.3426, 3.5412, 3.2465, 7.3581, 4.9036, 4.4080, 5.8634, 6.0505, 4.5118, 5.9289, 1.6153, 2.2263, 4.4914, 8.3741, 11.3558, 10.3440, 5.3601, 7.3268, 4.0239, 4.7827, 3.8395, 0.9738, 1.2172, 5.4135, 4.7885, 2.8406, 3.2285, 1.4732, 6.9400, 9.4304,"nope"
34821.7578, 14990.9111, 88.0142, 20.1482, 19.6888, 6.5549, 14.2807, 10.9869, 8.1410, 11.5654, 10.4283, 9.5878, 0.7093, 9.5591, 3.4976, 9.4987, 7.7587, 3.8294, 7.0132, 5.3524, 5.3279, 3.0389, 3.3564, 6.6811, 10.8050, 6.2616, 3.3833, 6.9297, 9.7834, 13.3743, 13.5881, 10.3713, 1.7923, 4.9006, 0.6532, 3.4402, 4.2877, 4.1713, 5.2388, 9.1231, 6.4433, 2.4585, 3.3675, 0.7985, 3.1402, 2.7056, 6.9633, 6.4682, 0.9718, 3.9316, 8.6882, 9.8605, 9.3330, 0.9212, 6.6084, 9.9078, 1.3572, 6.7340, 11.0851, 8.2847, 2.4895, 2.3331, 1.8405, 9.6102,"nope"
34812.8242, 14985.1572, 85.0599, 27.3301, 10.8479, 17.5371, 12.8185, 1.9693, 6.8304, 10.0360, 3.4622, 9.9763, 4.3611, 16.9266, 12.8993, 12.0340, 6.4109, 3.9463, 2.0586, 7.8741, 5.7387, 8.4097, 8.2281, 3.3300, 4.3193, 1.6936, 1.7713, 1.9266, 6.6004, 9.0980, 11.0664, 5.3460, 2.3734, 4.2535, 6.6671, 2.2990, 2.6939, 6.4544, 7.3007, 5.2523, 9.3319, 2.0910, 8.4707, 7.3273, 6.5353, 3.8933, 4.5289, 7.6645, 1.1148, 5.2808, 2.1168, 9.8739, 13.3854, 6.4898, 1.5200, 3.2684, 3.7684, 5.0713, 5.2260, 1.9748, 9.4306, 8.8860, 6.7256, 2.9883,"nope"
34815.5430, 14997.8877, 82.8451, 44.7538, 9.1768, 9.3304, 13.5179, 9.9719, 17.3699, 15.5418, 13.8280, 7.0841, 3.5296, 6.3931, 8.3567, 5.0801, 2.5997, 8.0412, 6.3137, 2.4051, 3.9655, 1.4318, 4.9782, 8.0663, 5.0543, 2.3990, 5.8057, 6.6899, 3.6334, 7.0482, 4.8853, 4.7406, 6.3080, 5.0534, 2.1039, 5.0536, 4.7522, 2.8421, 4.4387, 2.6139, 2.1737, 3.5771, 1.2466, 2.6077, 2.8124, 2.2716, 4.1645, 7.2720, 6.9979, 4.7214, 3.3493, 4.4590, 10.2449, 12.2134, 6.6087, 5.7407, 7.8538, 9.3355, 4.6210, 4.0984, 3.8397, 2.9232, 3.7231, 5.1790,"nope"
34797.7578, 14968.5020, 72.2552, 24.1703, 29.3594, 25.0268, 35.8267, 25.3147, 13.0647, 13.2940, 9.7676, 6.2627, 12.0166, 8.6257, 2.2048, 11.1182, 8.5546, 5.0568, 3.5683, 2.1677, 2.2661, 14.2800, 15.7694, 0.9651, 11.5009, 12.4808, 7.2847, 11.6694, 6.6058, 0.8739, 5.1157, 3.4285, 4.0012, 9.7855, 2.5663, 5.7076, 6.0797, 10.3687, 5.2642, 9.3972, 7.3302, 2.2486, 1.0950, 1.8654, 5.2304, 4.8984, 3.0120, 5.6488, 6.6095, 8.3121, 3.7974, 5.9523, 5.2947, 2.8629, 0.6613, 5.0410, 6.1904, 6.6897, 4.4858, 5.5975, 3.4069, 6.3555, 5.9181, 8.5894,"nope"
34782.8477, 14982.6465, 92.1447, 19.1349, 25.3876, 26.3660, 18.3039, 9.3162, 14.1003, 7.1756, 9.4158, 2.2770, 14.1209, 7.1059, 18.8290, 10.8478, 1.8835, 6.0154, 3.3716, 5.2227, 10.0820, 4.8408, 5.5180, 10.0893, 11.1735, 0.7937, 5.2419, 19.3709, 16.1399, 10.3219, 4.5936, 6.8628, 8.5199, 1.9070, 6.6085, 11.5739, 6.3758, 6.3779, 7.5174, 1.2411, 6.7864, 7.1091, 3.6532, 4.8073, 6.0321, 3.5479, 5.6837, 7.7587, 4.2806, 7.2121, 3.3283, 2.0332, 4.6116, 4.8734, 9.5562, 8.3473, 3.9778, 7.3821, 11.8125, 9.8252, 6.2741, 2.2166, 4.7643, 4.6956,"nope"
34797.5000, 14970.9736, 62.4918, 45.2293, 6.6874, 31.9962, 11.4344, 13.8780, 11.0285, 17.8776, 13.9875, 8.2229, 5.8119, 13.1302, 8.2647, 3.0147, 5.4490, 10.6419, 9.9766, 1.6704, 16.1238, 8.6925, 2.1471, 5.0284, 5.3611, 4.9962, 0.7850, 3.0999, 10.3517, 10.4641, 7.6018, 4.7184, 6.7967, 8.3539, 8.8856, 9.5933, 2.0265, 10.2548, 13.2830, 9.5193, 5.6254, 1.7574, 4.7122, 4.9283, 6.8292, 8.5744, 1.1235, 5.1010, 4.5883, 1.2924, 4.5679, 2.9703, 0.8915, 8.5231, 9.6727, 8.4400, 2.6486, 0.9649, 4.9598, 5.3091, 5.8348, 11.1434, 8.5572, 6.1155,"nope"
34847.4102, 15015.3516, 87.8557, 46.2162, 19.0675, 16.4845, 10.5784, 8.1086, 15.4357, 12.0424, 7.7470, 12.2480, 3.9371, 5.6660, 7.2838, 15.1825, 9.0284, 1.4913, 2.0712, 11.4275, 11.6329, 5.1155, 3.3672, 9.5183, 6.2163, 12.4892, 10.7834, 11.6935, 8.6804, 9.5457, 1.1305, 5.3783, 2.9192, 2.6988, 4.0273, 6.2769, 5.1400, 5.6682, 4.8664, 2.2481, 5.0727, 4.4251, 5.6680, 7.5727, 2.7507, 6.0675, 11.9640, 10.3172, 2.2454, 1.5249, 7.9957, 8.1586, 7.2703, 5.7457, 4.1389, 7.8735, 8.7168, 7.2930, 2.9201, 5.5840, 7.4288, 6.1975, 7.7546, 5.2921,"nope"
34812.7656, 14966.5693, 73.4764, 39.8627, 31.6429, 11.0200, 20.2195, 19.3969, 13.8817, 7.5854, 6.8474, 9.8082, 19.9045, 8.2657, 5.0037, 5.9099, 7.7987, 11.8565, 5.3044, 9.6291, 13.5298, 8.8536, 11.7833, 5.6034, 2.8619, 3.2980, 7.4226, 11.1358, 9.3171, 2.9862, 1.8775, 11.0044, 11.5034, 2.6873, 4.5134, 4.1083, 8.0758, 6.9422, 2.3196, 7.2723, 5.2114, 6.5471, 4.8650, 3.1928, 1.7577, 8.1626, 12.6069, 8.4374, 3.8593, 2.3980, 2.1022, 1.1790, 3.9673, 6.8756, 3.7946, 7.5118, 7.9409, 2.6067, 5.6963, 4.1976, 8.9117, 10.7638, 9.6747, 9.6421,"nope"
34820.1250, 14996.8037, 93.8494, 16.3626, 30.0836, 27.9514, 18.4128, 20.6533, 12.5889, 15.0030, 6.5746, 4.3757, 9.1632, 9.6911, 8.2950, 3.7533, 8.2429, 7.5124, 10.7275, 9.8721, 8.3874, 3.6578, 15.9872, 19.8791, 14.3652, 15.3916, 8.5818, 3.8767, 13.6761, 14.5344, 8.3932, 8.6346, 4.5038, 6.5781, 11.8422, 13.1056, 10.3526, 6.1964, 3.0794, 4.7192, 5.8109, 4.4387, 4.3479, 4.8909, 10.7193, 8.6640, 4.6850, 11.3403, 6.7487, 2.9088, 3.1239, 3.7276, 4.3362, 2.0731, 2.3363, 4.0433, 2.7285, 2.6657, 3.2485, 2.5214, 6.8371, 1.4687, 7.3401, 5.4239,"nope"
34776.1445, 14948.5225, 50.9897, 54.4834, 10.2707, 3.0148, 12.0070, 13.5708, 11.7599, 13.7184, 4.5189, 7.2778, 7.7376, 6.7597, 0.8320, 9.8929, 7.1084, 5.3515, 3.4641, 10.2194, 13.1247, 4.1950, 2.7293, 13.6543, 17.5769, 6.4685, 3.9927, 7.6857, 8.3434, 7.6890, 6.9985, 10.1706, 6.8461, 11.1892, 6.4065, 2.0901, 5.9657, 0.8810, 3.4760, 9.0665, 10.7680, 6.4458, 6.1161, 4.3209, 5.2285, 2.9546, 9.9152, 12.2865, 9.6737, 2.7340, 8.7876, 12.1896, 5.7230, 10.6802, 12.5170, 7.6820, 7.3297, 6.9042, 11.8871, 3.3709, 4.4247, 6.1658, 7.8614, 6.7377,"nope"
34799.6523, 14973.8545, 74.0354, 33.4856, 21.4395, 2.5400, 5.0788, 23.5981, 3.8034, 7.6776, 10.5449, 16.1221, 8.7345, 11.5818, 5.9643, 6.9480, 10.8182, 7.0789, 5.3373, 6.1274, 8.6103, 7.9994, 8.7488, 11.4294, 1.5528, 7.4755, 7.3218, 8.1286, 2.7192, 8.9060, 7.8293, 10.4406, 5.4012, 7.4251, 3.8770, 4.4673, 8.3412, 11.4303, 11.5061, 4.6400, 3.7249, 5.6927, 6.6217, 4.9038, 4.7496, 9.9479, 4.1239, 5.2755, 9.3578, 11.7598, 8.3451, 7.0020, 4.5722, 2.1510, 4.4905, 1.0501, 3.5784, 8.6414, 10.3598, 7.3816, 2.1919, 2.1472, 5.1634, 4.8417,"nope"
34816.8516, 14997.4014, 95.9361, 34.4221, 15.8182, 25.0846, 9.4270, 9.9674, 7.6217, 5.2430, 4.5203, 7.8625, 11.5363, 5.7330, 3.2090, 12.5426, 12.3327, 8.3535, 2.8187, 3.0588, 10.1408, 15.6668, 13.8781, 5.9590, 5.7506, 2.0658, 3.4295, 2.4658, 3.0737, 3.7484, 0.5697, 4.1054, 3.5567, 8.6183, 5.2579, 4.8998, 5.9971, 7.1251, 6.0440, 2.3253, 5.2177, 5.1963, 6.7291, 10.0914, 8.3751, 6.3152, 11.5615, 13.6608, 9.6687, 4.9376, 4.9140, 10.6864, 4.6014, 5.3604, 4.3620, 5.6068, 3.7864, 2.4711, 5.9028, 2.6784, 2.2061, 2.0012, 6.5644, 6.4490,"nope"
34803.8867, 14971.4307, 74.1970, 27.0560, 34.4024, 10.5498, 16.1537, 17.3102, 25.0200, 25.5027, 10.0823, 14.5197, 12.7694, 10.8164, 4.0255, 10.1205, 17.1680, 12.6754, 3.5516, 13.1582, 16.6509, 12.6786, 5.4225, 7.6281, 8.0851, 4.5601, 6.0896, 4.1399, 5.2556, 9.1215, 15.3499, 9.1033, 4.2239, 4.1185, 1.8366, 11.5339, 11.7394, 5.6117, 3.1941, 8.0126, 8.9890, 3.3291, 2.9948, 3.7678, 10.8189, 9.5427, 5.7325, 5.2062, 2.3649, 7.4551, 5.0336, 4.9218, 5.9655, 9.2621, 4.2601, 3.4607, 6.8855, 4.1051, 10.1747, 7.3222, 5.4200, 6.0706, 1.8133, 0.3596,"nope"
34834.6211, 15006.3896, 89.0592, 23.4844, 27.5943, 13.2526, 29.8377, 21.0252, 18.2173, 22.9772, 13.4263, 11.8356, 7.5393, 10.4162, 7.0762, 16.6600, 2.5306, 2.2336, 5.5408, 4.9817, 11.1752, 11.1760, 5.2291, 7.9364, 9.7250, 3.3548, 7.9921, 10.1188, 7.3499, 5.3376, 6.8430, 11.7379, 12.7997, 8.2580, 6.7519, 6.6247, 3.2369, 11.1385, 10.7984, 5.6666, 4.2524, 2.9425, 5.1586, 1.5816, 2.4544, 0.7943, 3.0528, 2.0526, 2.2984, 5.7561, 4.3544, 2.2428, 6.2942, 14.9036, 11.8047, 8.5130, 7.5992, 8.1316, 4.9440, 1.2700, 4.3134, 5.1708, 4.5627, 11.5268,"nope"
