"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","label"
34809.3180,14989.3306,88.7384,31.7743,31.1993,12.5035,13.9734,10.6789,6.5300,9.5167,4.6327,7.6497,16.0923,18.7334,10.9325,6.4551,6.9950,5.0215,9.2944,12.6265,5.3047,8.1429,10.6233,4.7839,3.3922,3.4075,5.4951,12.6804,4.8704,1.6051,1.8230,9.6535,6.4648,3.7397,15.7508,20.6957,16.6639,25.2484,14.3600,8.6606,9.9804,9.4087,6.7697,6.9435,5.4735,6.8440,10.0674,8.0511,10.3335,15.1331,11.3539,6.0263,12.0914,7.7865,1.3998,6.2042,7.4981,10.7721,10.3162,16.5485,13.4142,10.2988,8.5494,9.0151,"nope"
34796.0391,14983.6714,79.5876,48.0898,35.6013,18.6137,15.5510,15.8988,13.4370,14.6157,13.7188,22.2218,11.8867,7.3637,11.3431,2.7572,4.5408,3.7949,10.9858,14.8854,11.9767,6.7248,0.9592,6.3009,6.0364,13.1562,16.0588,9.8088,7.1654,14.3300,6.5125,4.5970,10.0504,4.3448,14.7941,9.6924,5.3241,8.1989,7.0812,6.4842,7.1462,10.6427,5.4309,4.7365,10.8805,15.6727,8.4002,3.1517,2.8036,0.2458,4.2661,3.7091,2.6558,7.3236,9.3557,1.1943,4.2305,4.2195,5.7311,8.7403,10.7091,6.7393,3.1604,2.7246,"nope"
34804.5472,14980.0999,78.2045,29.5740,20.6089,12.5396,1.3112,13.6680,6.5865,11.6374,12.5901,8.1061,8.3870,11.7915,4.4451,12.0466,6.5125,5.5652,12.2323,17.1121,10.8009,4.9296,7.7785,9.8234,6.9842,7.1736,11.0882,7.9287,4.2596,7.8239,8.0316,3.9480,3.2420,4.5197,8.9482,9.4829,4.8226,5.8150,13.5198,13.4806,4.9335,4.0520,4.7946,5.8957,4.1327,2.5299,3.4866,5.8828,2.5430,5.0910,7.9643,4.4456,5.1798,10.6758,7.8890,3.2316,5.6042,9.1570,7.6283,4.6655,3.9685,9.0461,1.9882,3.6582,"nope"
34794.8943,14966.6670,67.3689,35.1738,22.9346,7.5046,16.6272,14.6822,9.7894,7.0465,11.9550,15.1382,5.6797,10.2656,12.7055,8.6899,2.6972,5.8388,3.4929,2.1896,6.0445,5.3273,11.2498,10.6876,2.4833,3.4488,3.0051,5.7505,4.1601,1.9256,10.1715,11.8037,2.9072,6.8181,4.0451,3.1468,9.1295,11.8375,5.1194,3.1001,6.3053,3.1373,8.5868,8.2469,8.1060,7.1057,7.6809,5.1755,2.6174,6.2717,4.6065,5.6958,5.2499,7.5045,4.6349,6.3729,6.2837,6.1184,8.2973,4.1216,5.8953,8.6076,5.3509,1.7411,"nope"
34788.4546,14971.7980,77.4640,40.8162,13.6394,11.4952,19.8771,10.5788,14.2476,8.1990,12.0942,14.2720,8.9617,6.1135,3.2394,2.3890,11.1423,13.9683,6.1140,8.7254,7.4420,6.5741,6.2148,2.4347,3.4913,3.9571,3.5487,5.2850,2.9095,2.0336,6.4102,5.0867,6.8562,5.0130,1.6716,1.8444,6.4081,1.2074,1.5972,6.1266,8.9986,7.5312,0.7337,4.0613,10.5273,14.2874,6.6525,2.5037,6.1066,12.0869,8.9253,4.5551,3.4849,8.0535,6.0352,3.5732,7.2314,8.0563,4.5072,4.6543,4.9247,2.3365,5.5220,5.9785,"nope"
34794.3224,14978.0882,82.1433,32.9463,20.1358,20.2341,5.3008,13.1217,21.6539,14.3120,8.2658,7.2967,7.1253,13.9954,9.4094,11.8574,12.2203,6.9628,12.8169,13.1822,7.8856,9.2437,14.5349,8.2888,4.6024,6.0279,8.8245,5.9317,4.0239,0.8860,5.0382,4.2575,0.4359,5.4393,8.2287,5.8310,2.5269,6.9601,7.9259,4.1376,9.8892,8.4386,2.4295,7.5093,4.2521,3.7456,8.4114,13.3842,7.6690,4.2581,7.9515,8.7601,7.6773,5.8309,6.9514,3.2636,4.4793,9.5403,6.4693,6.6582,5.0831,7.8010,7.8144,10.0537,"nope"
34786.0486,14968.2350,92.3548,20.4198,35.4191,7.9164,24.8850,19.9808,19.0085,29.6452,24.0442,23.2030,18.5196,6.6004,14.8133,14.2308,5.6610,8.3062,9.8783,8.5204,7.6924,11.3907,4.6647,9.3139,12.8722,7.3239,1.9642,6.3136,3.5555,2.7357,1.2672,2.2584,3.7815,6.5005,10.5062,8.9995,11.2604,9.0779,3.1916,0.8833,4.9313,4.8721,4.5762,7.6955,2.8287,3.8240,2.7268,4.8218,2.9977,5.1960,8.5235,6.6345,4.3826,6.5529,4.7501,5.1037,8.4740,3.6154,5.1791,9.6720,11.5238,0.6252,4.2834,3.3077,"nope"
34863.1453,15089.9257,164.2414,70.3123,108.5641,18.8900,29.8676,49.8023,18.7603,2.5911,93.2706,45.1647,110.2402,122.1974,40.8488,39.0615,28.3704,46.1035,15.7285,82.8951,96.6291,69.1744,20.6745,66.0835,55.6768,70.6779,68.2482,66.9370,24.9244,44.7926,16.4420,31.7401,40.7800,25.8845,24.3651,41.0211,17.9301,35.5525,71.8891,75.0294,11.4358,31.4275,34.0742,46.2517,18.4213,17.9633,19.2212,9.0545,2.7004,22.3339,14.3757,18.7630,36.7906,26.7479,21.2135,0.7200,16.4729,10.1290,16.9260,9.7813,12.6472,15.7704,27.9028,34.9831,"nope"
34830.0288,14961.5894,43.0022,70.0740,81.9072,109.9432,100.9412,11.0176,8.5108,11.1929,15.9240,18.3242,20.3205,20.7625,10.2923,12.2296,9.6184,18.6394,26.8958,10.3403,15.3649,15.4300,15.2489,11.4039,20.6698,13.0450,7.3177,9.3240,10.6372,4.4310,13.0819,5.8664,21.7850,9.7766,9.2260,7.5364,19.6301,6.0091,12.5914,20.3712,24.2091,18.9663,9.8374,4.4538,1.2429,3.7357,14.1226,7.2035,10.0521,8.2893,6.7295,17.7666,18.1886,11.0856,3.3247,3.9504,10.1155,4.8761,12.1563,3.3265,9.1849,12.6895,11.7780,4.5033,"nope"
34790.7442,14869.6610,58.4378,95.4340,42.4925,129.4638,71.6282,41.6664,8.9504,37.8456,80.3288,54.0889,56.8636,61.0630,40.2126,7.3867,26.5361,24.1449,18.6207,4.3563,17.9405,12.1302,12.3613,21.0089,4.9239,10.5156,9.4497,13.3024,4.1493,15.2316,8.8136,7.6479,3.5799,12.5381,13.4408,8.6034,5.1256,9.7427,6.6345,18.5140,25.5805,12.6526,8.6931,3.6491,4.5641,4.6406,11.0304,9.7248,6.9865,4.8228,7.0886,9.2581,15.6899,10.2522,5.8881,10.2563,5.2123,10.6786,8.7136,1.5774,2.9515,0.5708,4.4380,7.9940,"nope"
